,TOTAL_RECORDS,TOTAL_SUM,MEAN,STD_DEV,MEDIAN,MAX,MIN,ZERO_RECORDS,NON_ZERO_RECORDS,NA_RECORDS,NULL_RECORDS,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,COLUMN_NAME
Arbitrage Present,37938.0,11709307.057046503,308.64323520076186,1708.6243489407434,48.714104341533215,96676.36141263852,4.959030494711012,0.0,37938.0,0.0,0.0,4.959030494711012,45.466337123827074,48.2289826749391,48.39905093192307,48.53011944206364,48.71417941484648,48.95011970404861,57.55840943863713,155.83787569403108,466.4060503705134,total_gas_fees_usd
Arbitrage Not Present,1970054.0,178198732.5549142,90.45372997639365,298.9440506584639,45.67750709118017,91624.2634116935,2.36369034290609,0.0,1970054.0,0.0,0.0,2.36369034290609,14.599267744417762,21.27044205768868,28.24113255157897,36.230439367072506,45.677864075171,58.10381774568459,75.52446060819517,104.86273295717324,173.88503746591488,total_gas_fees_usd
Population,2007992.0,7027.97199999996,0.00349999999999998,1.3331136391978408e-13,0.0035,0.0035,0.0035,0.0,2007992.0,0.0,0.0,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,total_transaction_rate
Arbitrage Present,37938.0,132.78300000000004,0.003500000000000001,1.808039371864273e-15,0.0035,0.0035,0.0035,0.0,37938.0,0.0,0.0,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,total_transaction_rate
Arbitrage Not Present,1970054.0,6895.188999999961,0.00349999999999998,1.32095756774609e-13,0.0035,0.0035,0.0035,0.0,1970054.0,0.0,0.0,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,total_transaction_rate
Population,2007992.0,322706214.9784544,160.7109067060299,398.9973699868672,37.06572673762332,33492.62883445305,3.499999452278865e-09,0.0,2007992.0,0.0,0.0,3.499999452278865e-09,1.8416617402405,4.586481787367898,9.180200563024083,17.01549508157541,37.06612368991167,80.36390292506012,149.856853398522,244.3252908035264,409.8655530617789,total_transaction_fees_used
Arbitrage Present,37938.0,15385990.501695415,405.5561838182143,1503.2863173506823,17.006662115702493,31694.92626491056,0.0524396796907475,0.0,37938.0,0.0,0.0,0.0524396796907475,16.954408620202727,16.967499747372397,16.980527491976297,16.99360557726316,17.006666462266587,24.843939733170576,98.64246760763388,375.0296311340686,949.8685306054208,total_transaction_fees_used
Arbitrage Not Present,1970054.0,307320224.47675854,155.99583791954868,342.88482018823385,37.69853787908605,33492.62883445305,3.499999452278865e-09,0.0,1970054.0,0.0,0.0,3.499999452278865e-09,1.803435279400574,4.477977314913769,8.884726384739228,17.41180232325981,37.69900110154995,81.4944486047476,150.1387991550655,243.3778216810904,404.936324312122,total_transaction_fees_used
Population,2007992.0,512614254.590415,255.2870004414435,590.9229736332971,115.62247620335188,97516.40924577165,3.254606671460885,0.0,2007992.0,0.0,0.0,3.254606671460885,26.03324061429695,41.40496102629521,59.66888980914371,81.21889802373964,115.62347263030202,167.43994870534576,239.41767393382924,351.4661531212238,559.9946680357523,total_fees_usd
Arbitrage Present,37938.0,27095297.55874192,714.1994190189762,2409.872842557407,65.92819947524876,97516.40924577165,8.494658192285764,0.0,37938.0,0.0,0.0,8.494658192285764,65.20546391884508,65.3774838818326,65.5148235813851,65.69598697106959,65.92830232338534,93.42118779469592,251.3320731222707,718.3680911882738,1574.604017147447,total_fees_usd
Arbitrage Not Present,1970054.0,485518957.03167295,246.44956789594244,489.8437102127271,116.92061254386779,91722.87643383496,3.254606671460885,0.0,1970054.0,0.0,0.0,3.254606671460885,25.766765445037628,40.80103117453934,58.51630999002296,82.24933134737624,116.92162297801065,168.29633157808803,239.3631892152903,349.41573017931705,551.6227123010306,total_fees_usd
Population,2007992.0,5159850476.711692,2569.6568894257007,746.6794262593897,2341.3960001300547,4074.363408114287,1526.3488097890524,0.0,2007992.0,0.0,0.0,1526.3488097890524,1649.0247286371125,1835.6029290957945,1931.427090707864,2223.17464020855,2341.3960001300547,2897.6568394234887,3105.29408022641,3370.886764692801,3676.529394953686,global_eth_price_usd
Arbitrage Present,37938.0,117654073.66077182,3101.219717981228,515.9401776091628,3320.2187138290865,4074.363408114287,1526.3488097890524,0.0,37938.0,0.0,0.0,1526.3488097890524,2218.373050508502,2866.349085526836,3320.2187138290865,3320.2187138290865,3320.2187138290865,3320.2187138290865,3320.2187138290865,3320.2187138290865,3401.8810786952085,global_eth_price_usd
Arbitrage Not Present,1970054.0,5042196403.050919,2559.420403222916,746.7225281466589,2323.470586647045,4074.363408114287,1526.3488097890524,0.0,1970054.0,0.0,0.0,1526.3488097890524,1648.8049989331842,1832.3477706694327,1920.882236967681,2217.812948956044,2323.470586647045,2850.118110036234,3087.5780749424234,3376.84082740463,3679.2983897805816,global_eth_price_usd
Population,2007992.0,8.942292754998998e+16,46475970469.85345,167780823409.58948,28000000000.0,56657201823439.0,2213991973.0,0.0,2007992.0,83924.0,83924.0,2213991973.0,9283255800.0,14152585139.0,18659993705.0,23110870115.0,28000000000.0,34585715299.0,43524697963.0,56516702888.0,81023688562.0,maxFeePerGas_trade1
Arbitrage Present,37938.0,3986912070873421.0,107100200689.6637,549966160680.8473,24582129783.0,21059629057950.0,3610155495.0,0.0,37938.0,712.0,712.0,3610155495.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,31498103183.0,50427300361.0,122871633121.0,maxFeePerGas_trade1
Arbitrage Not Present,1970054.0,8.543601547911648e+16,45279899153.77995,150547799560.65952,28121393717.0,56657201823439.0,2213991973.0,0.0,1970054.0,83212.0,83212.0,2213991973.0,9192569634.0,14000000000.0,18430172664.0,22836005370.0,28121563682.0,34829229133.0,43707179916.0,56560868539.0,80753105431.0,maxFeePerGas_trade1
Population,2007992.0,2.5556383764067804e+16,13282474301.35931,159754312577.01837,100000000.0,56657201823439.0,0.0,219592.0,1788400.0,83924.0,83924.0,1.0,10000000.0,45590000.0,100000000.0,100000000.0,100000000.0,300000000.0,1500000000.0,3000000000.0,20000000000.0,maxPriorityFeePerGas_trade1
Arbitrage Present,37938.0,2268024484203274.0,60925817552.33638,543922949637.8583,0.0,21059629057950.0,0.0,28274.0,9664.0,712.0,712.0,1.0,14881289.0,75272000.0,100000000.0,940900000.0,2500000000.0,9066979535.0,14724892017.0,68292662120.0,452106186678.0,maxPriorityFeePerGas_trade1
Arbitrage Not Present,1970054.0,2.328835927986453e+16,12342506304.112654,141924281600.62088,100000000.0,56657201823439.0,0.0,191318.0,1778736.0,83212.0,83212.0,1.0,10000000.0,45442816.0,100000000.0,100000000.0,100000000.0,300000000.0,1500000000.0,3000000000.0,19731537711.0,maxPriorityFeePerGas_trade1
Population,2007992.0,63414888432.0,31581.245558747247,189675.42347191586,461.0,13347936.0,0.0,31872.0,1976120.0,0.0,0.0,1.0,12.0,40.0,97.0,218.0,495.0,1238.0,3760.0,11338.0,41774.0,nonce_trade1
Arbitrage Present,37938.0,4479322073.0,118069.53642785597,423214.4039036939,33733.0,2831710.0,0.0,57.0,37881.0,0.0,0.0,1.0,331.0,7451.0,32201.0,33733.0,33733.0,33733.0,33733.0,33733.0,33733.0,nonce_trade1
Arbitrage Not Present,1970054.0,58935566359.0,29915.711122131677,181861.64740855974,433.0,13347936.0,0.0,31815.0,1938239.0,0.0,0.0,1.0,12.0,39.0,94.0,207.0,464.0,1134.0,3373.0,10108.0,42185.0,nonce_trade1
Population,2007992.0,1112295659239.0,559681.096380953,722979.9810841021,376868.0,19330592.0,109100.0,0.0,2007992.0,20618.0,20618.0,109100.0,218118.0,252020.0,299103.0,327682.0,376868.0,448766.0,517760.0,629049.0,894278.0,gas_trade2
Arbitrage Present,37938.0,18532675786.0,489363.2538353886,764601.1805045416,301533.0,17900830.0,109100.0,0.0,37938.0,67.0,67.0,109100.0,301533.0,301533.0,301533.0,301533.0,301533.0,301533.0,348861.0,407882.0,762369.0,gas_trade2
Arbitrage Not Present,1970054.0,1093762983453.0,561047.0891570826,722080.1029063647,378646.0,19330592.0,109100.0,0.0,1970054.0,20551.0,20551.0,109100.0,216269.0,251668.0,296831.0,329658.0,378646.0,450000.0,519532.0,631515.0,895431.0,gas_trade2
Population,2007992.0,8.456280741977973e+16,42550021998.76809,162341155697.92502,22532294289.0,29296371356725.0,2298311408.0,0.0,2007992.0,20618.0,20618.0,2298311408.0,7518196572.0,11584715539.0,14846177928.0,18237262959.0,22532294289.0,27544315010.0,34587279000.0,45397907029.0,66789692317.0,gasPrice_trade2
Arbitrage Present,37938.0,3424018847831163.0,90412686431.07294,516715294505.3282,24582129783.0,29296371356725.0,3194827872.0,0.0,37938.0,67.0,67.0,3194827872.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,31498103183.0,41579807142.0,90846164656.0,gasPrice_trade2
Arbitrage Not Present,1970054.0,8.113878857194862e+16,41620242991.13601,147087563232.57022,22169487916.0,13357054763707.0,2298311408.0,0.0,1970054.0,20551.0,20551.0,2298311408.0,7450509055.0,11473022812.0,14683549516.0,17984489782.0,22169487916.0,27638193268.0,34665786260.0,45428908523.0,66519426927.0,gasPrice_trade2
Population,2007992.0,9.911935286097806e+16,51692671118.86684,174132476024.42365,28962890814.0,13357054763707.0,2407076339.0,0.0,2007992.0,90518.0,90518.0,2407076339.0,9331010945.0,14892927700.0,19316640894.0,23887970152.0,28962890814.0,35796925063.0,45438087765.0,59481067067.0,87279202956.0,maxFeePerGas_trade2
Arbitrage Present,37938.0,3367180786780110.0,90508313490.31288,450259274500.58405,24582129783.0,13357054763707.0,3610155495.0,0.0,37938.0,735.0,735.0,3610155495.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,24582129783.0,31498103183.0,49820555647.0,109000000000.0,maxFeePerGas_trade2
Arbitrage Not Present,1970054.0,9.575217207419787e+16,50924665686.06221,163952733153.00867,29128009166.0,13357054763707.0,2407076339.0,0.0,1970054.0,89783.0,89783.0,2407076339.0,9249625545.0,14705119086.0,19084991355.0,23486037370.0,29128009166.0,36000000000.0,45622479958.0,59580780218.0,87016531407.0,maxFeePerGas_trade2
Population,2007992.0,3.462129196665887e+16,18055677399.880714,156334784769.7546,100000000.0,13357054763707.0,0.0,332528.0,1675464.0,90518.0,90518.0,1.0,10000000.0,47045000.0,100000000.0,100000000.0,100000000.0,300000000.0,1741257243.0,4601855276.0,32937790718.0,maxPriorityFeePerGas_trade2
Arbitrage Present,37938.0,1612046940489860.0,43331100730.85127,441183725170.44147,0.0,13357054763707.0,0.0,28257.0,9681.0,735.0,735.0,1.0,12626249.0,48500000.0,100000000.0,300000000.0,1789004391.0,5000000000.0,12070714785.0,39627415623.0,167757830506.0,maxPriorityFeePerGas_trade2
Arbitrage Not Present,1970054.0,3.3009245026169e+16,17555578438.51711,145121167270.35428,100000000.0,13357054763707.0,0.0,304271.0,1665783.0,89783.0,89783.0,1.0,10000000.0,47045000.0,100000000.0,100000000.0,100000000.0,300000000.0,1700000000.0,4500000000.0,32636444569.0,maxPriorityFeePerGas_trade2
Population,2007992.0,76562714302.0,38524.562715422464,203940.8747564007,610.0,2845521.0,0.0,20697.0,1987295.0,20618.0,20618.0,1.0,16.0,52.0,126.0,278.0,634.0,1639.0,5469.0,13681.0,79851.0,nonce_trade2
Arbitrage Present,37938.0,2632180488.0,69503.85487576245,285365.1872253149,33733.0,2830595.0,0.0,88.0,37850.0,67.0,67.0,1.0,269.0,6860.0,32201.0,33733.0,33733.0,33733.0,33733.0,33733.0,33733.0,nonce_trade2
Arbitrage Not Present,1970054.0,73930533814.0,37922.75970542236,201987.5190789177,579.0,2845521.0,0.0,20609.0,1949445.0,20551.0,20551.0,1.0,16.0,51.0,121.0,267.0,601.0,1484.0,4975.0,12432.0,80671.0,nonce_trade2
Population,2007992.0,921611.0,0.45897145008545853,0.49831393895428866,0.0,1.0,0.0,1086381.0,921611.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TRADE_POOL_1_SELL_FLAG
Arbitrage Present,37938.0,9239.0,0.24352891559913542,0.4292172397279853,0.0,1.0,0.0,28699.0,9239.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TRADE_POOL_1_SELL_FLAG
Arbitrage Not Present,1970054.0,912372.0,0.46312030025572903,0.4986381593465524,0.0,1.0,0.0,1057682.0,912372.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TRADE_POOL_1_SELL_FLAG
Population,2007992.0,1073364.0,0.5345459543663521,0.498805273573898,1.0,1.0,0.0,934628.0,1073364.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TRADE_POOL_2_SELL_FLAG
Arbitrage Present,37938.0,28613.0,0.7542042279508672,0.43056369682062645,1.0,1.0,0.0,9325.0,28613.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TRADE_POOL_2_SELL_FLAG
Arbitrage Not Present,1970054.0,1044751.0,0.5303159202742666,0.49908022542628394,1.0,1.0,0.0,925303.0,1044751.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TRADE_POOL_2_SELL_FLAG
Population,2007992.0,1935092.0,0.9636950744823685,0.18704784234150587,1.0,1.0,0.0,72900.0,1935092.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tran1Unique
Arbitrage Present,37938.0,19920.0,0.525067214929622,0.4993778209381825,1.0,1.0,0.0,18018.0,19920.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tran1Unique
Arbitrage Not Present,1970054.0,1915172.0,0.9721418803748527,0.1645662740143294,1.0,1.0,0.0,54882.0,1915172.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tran1Unique
Population,2007992.0,140830.0,0.07013474157267559,0.2553740238853061,0.0,1.0,0.0,1867162.0,140830.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tran2Unique
